sensor,MSE,RMSE,SNR (dB),PSNR (dB),SSIM
humidity,13.739358459182256,3.7066640607400956,24.764441366334577,27.733128493014746,0.21484439414539142
temp_envi,2.817847919442128,1.6786446674153908,24.76608595435166,27.559378702126285,0.15931093021191114
temp_water,1.793450219511467,1.3391976028620522,26.116091544570455,28.274700999807933,0.16886500683657388
tds,459.7919055250011,21.44275881329175,29.367771292671783,30.65748590200231,0.10613735225270898
lux,3362977.5723450445,1833.8422975667904,14.391512665839919,21.196626214260334,0.4705657394917633
ppfd,3642.4306196727534,60.35255271877697,15.777664712938444,21.922332685442214,0.17448467362644768
reflect_445,0.05559323576221349,0.23578217863573467,7.455899413953282,20.333101793345854,0.011644168530568717
reflect_480,0.058428794852836245,0.24172048910432944,7.328780507330274,20.92877595388199,0.011964922619418662
ph,0.18779689795507346,0.4333553945147948,23.203429442206666,25.18261030398162,0.013183386212846763
