lux_cA,lux_cD
600.7032865215189,11.655994711670221
860.6035641548983,53.04414784452496
902.755938731219,-24.390961044662323
935.2188698776739,52.915553495415466
680.6595435671642,151.53460298947843
620.7208778896313,320.75295510700704
991.8287944906682,-12.224381490621317
766.1144124674088,-237.01134849583656
960.2894557377853,39.856050239414316
871.2903356410993,179.43019665352574
962.2558986207966,-118.03643677296073
612.4154492706198,119.90472687481879
616.3434920780098,91.95527112321126
832.0858917900827,172.2070115329382
901.6878392333249,47.895168805278104
943.5231855215524,-63.73364429662065
1001.5293861214834,-232.98850248637288
910.6451600321138,220.06494812269912
665.142196854415,-39.18195819037754
839.844267370424,-183.0488556224158
700.744905305628,-66.87130855530488
894.6275797430112,157.7272173134493
975.1080254140602,71.10200348233788
623.0220008776037,37.726645796056516
685.6995566408219,2.4596780900196356
1162.776519693679,-150.28115261815677
555.4517016939408,-173.69368314396277
1042.9154263700334,-236.53694468259735
918.9565629831111,15.738685997706776
794.5683869534774,2.5146218110599836
880.2455764451043,-148.7345189173566
887.4636615087456,357.75304122270984
774.2019910233298,-326.75241991166365
769.9181214578773,271.63177594400224
785.6990253951791,72.06594067624457
819.6079319125503,-100.78175395325836
1137.323361801471,6542.47404804004
-1517.3743308848059,-9133.156149066552
8801.207735583312,-1042.0390677461303
27312.188507811687,-3723.295009007403
27276.487215442135,2125.7225546680543
28914.386474232582,-437.04038030653555
28269.89815824416,-788.6179723796915
29334.454878731653,-2290.9112084852277
25650.693588716746,597.124388494222
32793.46407019933,6684.145700912901
29144.054948876357,-3443.2496764845573
28998.74739707631,-3359.8225448737626
26192.121993908313,2631.118098214673
28039.097634283087,-1747.2517411723857
31101.65106351192,-4341.491609911262
26220.155383807036,2207.7971699706804
26121.99070494926,-632.8639845947847
31181.550026787805,-994.4210375399372
23586.52190110296,3244.6126387653594
29242.84337615774,5988.740167730137
31988.04407284932,332.3251843237115
28853.8035153727,-1072.3194279382817
26220.453708151214,-3615.573514027658
32295.781218260177,2689.2176795887785
25819.81962474753,160.97109876217772
31199.87843855954,-2879.071254598557
28148.20895592968,-1444.4609792345548
26288.697675212334,931.7509412969655
26570.936582303686,-1736.0117655958338
23270.353271675744,-1077.683188214201
30099.753312889516,-3912.5625990919134
23194.035517288976,1799.4681836757754
26659.014132641652,-5910.6820431914075
23037.627865089897,-305.2962994363793
26293.59277082905,1296.9103972770417
30500.25284387324,-319.42746639924246
23418.499576149625,-3727.23119746994
34124.87507443356,-166.42389811761208
29713.222164086885,-242.7332105555878
17011.872735306428,-492.3688860346666
16544.7995349994,-1057.8511431904208
14681.278193853166,-446.32043473420924
17116.560601392557,-436.96357683766735
18480.160857606803,-909.4131374025014
15903.460889285006,1351.6773373946546
10645.685577116887,1014.6381819126455
10488.853308792997,-1475.1854031103016
12612.994740379287,689.9447816406623
12722.515682773792,1348.7620241588259
14083.656267056456,33.74317288913778
9508.107392018665,1434.0024577409476
7420.865721160314,-2988.8639553393527
9948.244917226542,1371.471585697833
10657.293365553285,102.36615841384078
10608.314943720981,2421.644716191163
9757.870200530704,481.8267008263806
11017.796159790367,-2291.3449098936308
9490.293974895885,201.33746321713434
8067.651365595893,-455.70432907347356
13223.978414843285,-2480.654353002556
8311.919927697865,454.2905960665776
11130.43833709677,2165.7351495412677
8692.112985038862,403.83202942874647
9914.670662629227,1629.2637433911318
13678.088287789878,-1258.414427630929
9615.113091217523,-1473.0380373719802
12883.528488426866,-2497.5116889595683
8400.636968755289,912.2801206371511
11344.752340000796,-2302.9540285355915
8827.419120450795,-83.76965236615605
12656.094346503698,375.4691996645407
10771.769525968055,518.3883589656916
10870.031618364585,-2848.191607589082
8933.806715051123,1061.9214007736293
5769.887570698518,-425.83743542428
830.4299091689575,-8.46753145050031
850.7303634025354,-174.7076884578079
541.7929668137746,220.6936343035819
887.0578687044454,145.18167832366788
847.4818965868344,-85.70229492965773
650.379004743798,13.605737309325853
894.825614892433,3.8320287573227976
635.1096255220947,-149.92978318798643
831.9895573221578,81.90701370504534
684.7637832397804,-272.84194034619367
600.1921776646552,195.79224742428158
585.1054335991452,-221.4442218026413
755.0759142671986,-134.3733572791494
732.7588077087771,149.96948101768547
901.4298405878427,-26.014043333042565
