ppfd_cA,ppfd_cD
262.2618568633922,0.9141623957329927
213.74837613331016,13.511406694452257
194.15186813878188,24.072156405675994
204.4940822613974,15.188243375548053
224.65574914486342,43.97262846399065
322.0403504663008,-40.785466315266966
155.26774096897378,-8.105245913509528
275.7275852126299,-51.27786435650502
204.00186977337353,41.321797031636784
271.0883085114035,64.54072081290066
198.34941068211634,-82.15355717515104
271.22647105839593,-36.465731909200514
258.594582378066,55.95708091549914
301.66461654666085,57.72841335178104
299.0493886581659,-78.46886107739496
277.8937003812337,-61.16446599813261
235.96622730953408,52.143511029363445
257.3911012913953,-12.437351476858186
264.75572155055147,-25.00076256820233
280.72826687956007,33.2758137483723
206.7656853256664,6.665662045388114
327.4459711267261,11.651368327031717
270.1808253827852,-28.14287842052122
239.75871416864328,-65.75489446789994
182.21054783340475,55.592104829317606
249.23564490157787,3.7172787357156363
225.6658222595022,34.438193396934246
226.68331724798517,44.8079004785569
258.99308585226345,-6.589242931266632
220.31141834232852,26.650790429173078
320.20649755185065,110.32229321861561
157.73038218033298,46.86755483303501
258.6700975384086,15.580207059959907
250.46042110149926,-36.679481154632626
274.05303659388267,55.542967757041005
205.39339237666837,33.10382369053279
322.1133891642812,71.84958718146667
251.35190574283146,-212.19443987138166
450.75229577173775,46.531273074242
906.070844052776,29.686168583709577
1069.1949270622151,167.70813427503887
1004.8082961432964,10.35146948415788
905.3156364009637,17.33784338703828
796.420794263985,76.31665905608152
938.0308936672532,8.67167046340352
876.9753397939469,53.60930761044398
1093.5715164693806,-77.26476200623785
817.1091476480601,-34.613070255949616
982.4476497808582,-42.3396699295825
1122.558411641574,-2.614849855360916
1011.7707673700664,-36.96268437425446
796.8969405834255,16.914985903223368
824.1480250623581,-59.83161034826345
904.0689616397308,-61.53514550642692
851.6755232888136,-30.670638959187013
1028.8698759910503,3.608473094879673
997.9272810162763,51.0921486644732
935.9671875439642,117.04271909997497
1002.9261176364145,69.86012830858486
938.375500698457,-104.13528019620071
1061.3674822377247,-0.48509762640424015
864.6718252377309,-80.5581952232083
852.0321992716609,-40.91698576712324
941.9688001718552,-50.740452420556124
847.0186196987597,-116.91682344370832
874.6917212040598,187.6324663149565
927.2601629080684,135.5177482977079
923.9188428662802,-110.68479308366169
948.5614893903232,-36.31318591461847
